# IV Measurement - T = 25.00 °C - Pull number 0
# Td_go[°C]	Td_return[°C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]
# 
25.136191482686307	24.919602162910785	-5.0	-5.026320420000003	-5.025425202890217	0.00010565273029912899	0.00010575200028858	0.00261495354033503	0.0032881392169841206	0.00010397075066375961	0.00010474942786902626	2.61495354033503e-07	3.2881392169841204e-07
25.11369653992693	24.915664454436833	-3.888888888888889	-3.9137654995051494	-3.914252188603921	9.947771079114098e-05	9.891659796155587e-05	0.0010725395864061118	0.0013504561050686015	0.00010394959551616446	0.00010473735072818708	1.0725395864061117e-07	1.3504561050686014e-07
25.086141922227743	24.92376851542875	-2.7777777777777777	-2.800958827489241	-2.8011392341851247	0.00010600235079370582	0.00010645805214089364	0.0005885736432173402	0.001983614528956888	0.00010359780760370475	0.00010474172644712268	5.8857364321734016e-08	1.983614528956888e-07
25.059589175726856	24.944154588811518	-1.6666666666666665	-1.6922801516714705	-1.6918738958613826	0.00010459697480861061	0.00010522204620671582	0.0003829791481020686	0.0005835701691985258	0.00010323278873349799	0.00010415177519599175	3.829791481020686e-08	5.835701691985258e-08
25.039633813413047	24.97411962049711	-0.5555555555555554	-0.581076691143398	-0.579479841933985	9.74851493369859e-05	9.943167689434452e-05	0.0014650796120274142	0.0005021512256342617	0.00010455556528674252	0.00010282802891213656	1.465079612027414e-07	5.021512256342616e-08
25.03004438610637	25.008656198682598	0.5555555555555554	0.4009960177939619	0.4019539464655123	0.00010434728342188653	0.00010681954216740778	0.12995621166257956	0.13181338539082793	0.00010410019745046361	0.00010442485611167994	1.2995621166257957e-05	1.3181338539082794e-05
25.03185097265598	25.041655271571372	1.666666666666667	0.4820195291001518	0.48108977569577543	0.00010822948199136934	0.0001061989621555999	1.1616469204296553	1.1629068692974605	0.00010402929706822102	0.0001051006161806732	0.00011616469204296553	0.00011629068692974605
25.043106147209027	25.067378408792464	2.7777777777777786	0.5077899668138284	0.5079058451706788	0.00010470582742577401	0.00010500989165592235	2.2486111766576697	2.2482859551990124	0.00010473986787171219	0.00010468294659852454	0.00022486111766576697	0.00022482859551990124
25.059376815544447	25.081839379855523	3.8888888888888893	0.5253325867661961	0.5265736212468177	0.00010581037053318473	0.00010567961087543595	3.3457901167423243	3.3452542973330264	0.00010553417440471042	0.00010496367868513308	0.00033457901167423243	0.0003345254297333026
25.07484635152342	25.08375702475088	5.0	0.537043117171681	0.5371976216578218	0.00010526329987806391	0.00010540114436114245	4.444075262792947	4.444021135025699	0.00010313667214923798	0.00010297985427266857	0.00044440752627929474	0.0004444021135025699
