# IV Measurement - T = 28.00 C - Pull number 0
# Td_go[C]	Td_return[C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
#  - T Go Leg
27.14026	27.8061	-1.0	-0.8485839226922588	-0.8458173837255665	0.00041803120354928113	0.0004350233599646138	-0.1687731163456533	-0.16961687271195347	0.0004196462866276078	0.0004393532895084938	-1.6926398189314343e-05	-1.7011019226953512e-05	5.093131405867545e-07	5.1200833573086e-07
27.14494	27.7989	-0.8775510204081632	-0.7516414526263305	-0.7499532638385936	0.00042371990398109677	0.00042190994565457823	-0.14472037303966645	-0.14598851031826407	0.00042570802715387134	0.00042734606861977804	-1.451412827596695e-05	-1.4641310833242811e-05	4.3732368007325973e-07	4.411353679257925e-07
27.14729	27.7941	-0.7551020408163265	-0.6500397637648075	-0.6466256689247918	0.0004692880298446374	0.0005383454630514155	-0.1197097046997353	-0.120964197354039	0.00047405437652693085	0.0005429290079851578	-1.2005787253007251e-05	-1.2131601379404172e-05	3.6314276888191767e-07	3.678423050499014e-07
27.14963	27.78691	-0.6326530612244898	-0.5507111079244434	-0.5475251352212748	0.0004422729417995859	0.00042648896007785303	-0.10022643659906849	-0.10264308527222453	0.0004425982305099628	0.000426253232802419	-1.0051793862106959e-05	-1.029416159585042e-05	3.046736370338217e-07	3.1163666374743375e-07
27.15431	27.77972	-0.5102040816326531	-0.4471372156640208	-0.4447487579187388	0.000511700664262264	0.0005104344338303041	-0.08092693411373812	-0.08210955757116305	0.00051711576633927	0.0005149593735941716	-8.11623047976513e-06	-8.234836783789293e-06	2.4884537917788716e-07	2.522806501364694e-07
27.16366	27.77014	-0.3877551020408163	-0.34455987616093336	-0.3401923983377499	0.00048558266161132966	0.0004429525070463034	-0.062444348412994996	-0.06323534273629594	0.0004959232920894513	0.0004468399486981191	-6.2625963707747465e-06	-6.341925858619591e-06	1.9427082616830368e-07	1.9538386782415294e-07
27.16366	27.76055	-0.26530612244897966	-0.23618952799498938	-0.23609000894183257	0.0004380855642177013	0.0004560507314253052	-0.04627424653446305	-0.047510997902555474	0.0004443599949805359	0.000461034627736248	-4.640883214769135e-06	-4.764918052608111e-06	1.4612745508822886e-07	1.5018040389559667e-07
27.17068	27.75098	-0.1428571428571429	-0.1325701924390524	-0.1290334031869718	0.00048065540532516934	0.0004861433853081237	-0.028120066290328774	-0.027957228263247154	0.0004863722488689975	0.0004933948614690696	-2.820185166014319e-06	-2.8038540029332217e-06	9.762806705918199e-08	9.755949457699651e-08
27.17536	27.73662	-0.020408163265306145	-0.029045377292503352	-0.02827785369703953	0.0004438412839416548	0.0005150501390836375	-0.010312485636452361	-0.010150557016300106	0.0004500991059536054	0.0005216001400560025	-1.0342478825044992e-06	-1.0180079246113837e-06	5.476822769783264e-08	6.05674123583242e-08
27.18239	27.72944	0.1020408163265305	0.07102671727256893	0.071503408989751	0.0003820264534735697	0.0004703901814924687	0.014474392621741328	0.016969728566526694	0.00038085332672103327	0.00047238447224084724	1.4516490444029012e-06	1.7019083909865303e-06	5.791243828639111e-08	6.963510291196316e-08
27.18708	27.72226	0.22448979591836737	0.14554513481757678	0.1475323349916844	0.00035428528597962396	0.00032844569978298423	0.06150732823685409	0.06177068999586406	0.0003548964928335624	0.0003306025725674956	6.168621826983662e-06	6.195034599926192e-06	1.8837143541806262e-07	1.8870596220178148e-07
27.19176	27.71508	0.346938775510204	0.18342599686769448	0.18441846090217684	0.0003698512686400707	0.00034267053969768704	0.14347587149167734	0.1472256976691966	0.00037001498138681236	0.0003447287313614135	1.4389316166049278e-05	1.4765389396168549e-05	4.33084666932089e-07	4.4411692460943295e-07
27.19879	27.70791	0.46938775510204067	0.20510570120034483	0.20507525489976622	0.0002562423384905903	0.00020839036570020937	0.24709916165017498	0.24910052447268108	0.0002543767555879807	0.00020879144601920844	2.478178333669391e-05	2.4982501702204502e-05	7.43568178487641e-07	7.494419275330045e-07
27.20349	27.70075	0.5918367346938775	0.21747333023428506	0.21633817734079896	0.0001965498719866633	0.00025637967116293143	0.3558977932334802	0.3591782091997894	0.00018982476934983018	0.00025455878572140677	3.569328986395348e-05	3.602228554806833e-05	1.0705026289137914e-06	1.080500565470483e-06
27.20818	27.69357	0.7142857142857142	0.22594744630772534	0.22802825950493544	0.00024291829054950655	0.0001605672987903698	0.4669370414676186	0.4693818880973846	0.0002453078080844686	0.0001533387581790445	4.682950972496426e-05	4.7074705455559586e-05	1.4044902288998783e-06	1.4117111777902446e-06
27.21523	27.68402	0.8367346938775511	0.23387625487473784	0.23430477517374948	0.0002051892286231486	0.00018140773884465453	0.5830583877189992	0.5851461730186815	0.00019658596537213137	0.00017455735697880607	5.847541748259946e-05	5.868480323123875e-05	1.7536109684058942e-06	1.7598660519535281e-06
27.21992	27.67686	0.9591836734693877	0.24075533703788532	0.24018730454295345	0.00016996243851111263	0.00018911913691115878	0.7000880777514108	0.7029818656784699	0.00016433844030950412	0.00018345123673072351	7.021242380417318e-05	7.050264423613176e-05	2.105521806536367e-06	2.1142401818992318e-06
27.22695	27.66969	1.0816326530612246	0.2462516065519121	0.24603302816153977	0.00015526438183832597	0.00017432056430062473	0.8144136547111417	0.8215708024661738	0.00015042856921628332	0.00017464817645042717	8.167823234491443e-05	8.239602872993418e-05	2.4493285284282587e-06	2.4708686816999276e-06
27.23164	27.66309	1.204081632653061	0.2512879980387334	0.25018374546168815	0.00016509945798149261	0.00016998565021639274	0.9322971089430642	0.9396916897170376	0.00016200822039380143	0.00016685271112042396	9.350086339816108e-05	9.424247214091241e-05	2.8038539331532304e-06	2.826094991114135e-06
27.23632	27.6565	1.3265306122448979	0.2549097647214702	0.25474662617202193	0.00014994243873711263	0.00014989706002983897	1.0524789450517393	1.0573163299891828	0.0001457426098947743	0.00014516327071571367	0.00010555400110838826	0.00010603914652383741	3.1652775889092776e-06	3.179825205188068e-06
27.24101	27.64751	1.4489795918367347	0.25850699245805037	0.25859878629367306	0.00014667722648513894	0.0001465273840098786	1.1698625148160433	1.174993736179837	0.0001415018266507516	0.00014125548623470112	0.00011732649832675191	0.00011784111284523489	3.5182938903504145e-06	3.5337253923399058e-06
27.24571	27.64091	1.5714285714285712	0.2615034704387237	0.2606218860768028	0.0001475237828359959	0.000149206529743302	1.288448264689251	1.2948444390952458	0.00014754114234248332	0.00015180226232037845	0.0001292195632022115	0.0001298610409282164	3.874930408475595e-06	3.894167884528084e-06
27.25275	27.63137	1.693877551020408	0.2648662149120301	0.26460310030888623	0.00016095990043447304	0.000148761829187355	1.4086392000518257	1.4140660767841595	0.00016346728384463328	0.0001499616478843343	0.000141273613484287	0.0001418178795290502	4.236398227941977e-06	4.252713985628971e-06
27.25745	27.62422	1.816326530612245	0.26867929448980227	0.2677740800315825	0.0001478647850633547	0.00014784176111277365	1.5311448926933635	1.5363843693097992	0.00014483850621509163	0.0001459029188693989	0.00015355981272624245	0.00015408528425532036	4.60481520946817e-06	4.6205727630418644e-06
27.2645	27.61707	1.9387755102040813	0.2696590341087719	0.2698389869081642	0.0001501928554630028	0.000142402356648712	1.652408375819387	1.6552016415223438	0.00015313879079653536	0.000144426674413536	0.00016572142972815033	0.00016600156870146863	4.969505980289617e-06	4.977903837939442e-06
27.27155	27.60992	2.061224489795918	0.2738306560062862	0.27285409631091934	0.000147685053783095	0.0001520691758189278	1.7699115711150333	1.7760252796826028	0.00014693833819909847	0.00015500733114411135	0.00017750592429194997	0.00017811907328077454	5.322883839671864e-06	5.3412725390092365e-06
27.27626	27.60517	2.183673469387755	0.2761191410145476	0.27479358190714526	0.00014255097014396326	0.00014746572029667617	1.8920970459480084	1.895431134465451	0.00014389801347925766	0.0001501508748806036	0.00018976000861979826	0.0001900943871693362	5.690344504279713e-06	5.700373091148773e-06
27.28332	27.59802	2.306122448979592	0.27784913512856585	0.27694574104139047	0.00014112454383321326	0.00015796687173088653	2.0105777251864136	2.014490389499267	0.00013691747705886414	0.0001555997909864028	0.00020164253587267211	0.00020203494027672922	6.04666269094138e-06	6.058434213119107e-06
27.29038	27.59089	2.4285714285714284	0.278558492442462	0.27843716098646565	0.00015425087796136334	0.00015951504101466637	2.1317952675494793	2.136382937476456	0.00015367734519705666	0.00016006081116622597	0.0002137995454367144	0.00021425964672314269	6.411217410929937e-06	6.4250159786534466e-06
27.29743	27.58138	2.5510204081632653	0.28064475729069843	0.2801617035913573	0.00015452739201553828	0.0001439889484649217	2.252526115251604	2.2573216534874407	0.00015692895228544272	0.00014979962316519406	0.00022590774398271025	0.00022638869255715984	6.774305259773627e-06	6.788725787680641e-06
27.30449	27.57185	2.673469387755102	0.2826978491191307	0.2831222820026534	0.0001525252628394785	0.00015222258633009543	2.373043636622156	2.3769840463554592	0.0001555897636747589	0.00015464929662097388	0.00023799454785098344	0.00023838973486665923	7.136750566958443e-06	7.148600791512898e-06
27.30449	27.56235	2.7959183673469385	0.2856420682329891	0.28448010368998305	0.00015076960200434823	0.00014574437289273015	2.4940696845895007	2.4948433941132455	0.00015179705809307214	0.000148043670957131	0.0002501323522805637	0.00025020994826128226	7.500724839994575e-06	7.503050948600627e-06
27.3139	27.55522	2.9183673469387754	0.2866967884927923	0.2859019992922771	0.00014483229228537856	0.00014934000600844497	2.610593121812493	2.6176456524253755	0.0001501193192972998	0.00014829742358837966	0.0002618185860808839	0.00026252589032447853	7.851158477057811e-06	7.872367996451808e-06
27.31626	27.54808	3.040816326530612	0.28811959294494405	0.28870898207763035	0.00014860697859114753	0.0001446255471270057	2.733955307813715	2.7386462293406164	0.0001492506527053797	0.0001485955187150014	0.0002741906837642879	0.00027466114024075986	8.22215929208098e-06	8.236266710167959e-06
