# IV Measurement - T = 57.00 °C - Pull number 1
# Td_go[°C]	Td_return[°C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
# 
56.99761	56.99761	-1.0	-1.0096830130602852	-1.0087987021487914	0.00042613117952259547	0.00043638768507719045	-0.0113522846940598	-0.01280645672669889	0.0004302743618206442	0.0004426267147601391	-1.1385302070062983e-06	-1.2843703466752472e-06	5.502505954519116e-08	5.877034361944481e-08
56.99761	56.99761	-0.8775510204081632	-0.8864897781305622	-0.883791857328127	0.0004768851721928468	0.0004536446070392198	-0.012795085385361555	-0.012522625891389527	0.0004804655427001016	0.00045598167874163413	-1.2832299052614136e-06	-1.2559047128060904e-06	6.166556742157162e-08	5.924220012275033e-08
56.99761	56.99761	-0.7551020408163265	-0.7644471471507548	-0.7636800778684246	0.0004546701248309732	0.00045010361762891837	-0.013700701623554504	-0.01357015619702806	0.00046014048194964864	0.0004523242515522668	-1.374054921628172e-06	-1.360962410693818e-06	6.186577540796143e-08	6.101998805508706e-08
56.99761	57.00521	-0.6326530612244898	-0.6409553550605694	-0.639353052752286	0.0004508178592430977	0.0004546010078926489	-0.012080504269829873	-0.011520577531481169	0.0004563940460351777	0.00046020206672478536	-1.2115639624741624e-06	-1.1554084376172069e-06	5.843834040285186e-08	5.7711561775917355e-08
56.99761	56.99761	-0.5102040816326531	-0.5208812927943961	-0.5186723331724928	0.0004849030903672524	0.0004311395520767953	-0.012730495942723583	-0.012586761573600974	0.0004937136688656018	0.00043640828894866805	-1.2767521755815447e-06	-1.2623369344700606e-06	6.259027800591368e-08	5.786635658274402e-08
56.98246	56.99761	-0.3877551020408163	-0.39579037936189904	-0.39537639822485887	0.00043184529832835305	0.0004411370225020836	-0.013139410697404022	-0.013350464853272737	0.00043988046145858057	0.0004479311819215509	-1.3177625812259575e-06	-1.338929380530813e-06	5.9225925042344265e-08	6.025087647646889e-08
56.97488	57.00521	-0.26530612244897966	-0.2754295750135433	-0.2755763542596877	0.0004460747416276252	0.00047274666113886513	-0.01195860680488503	-0.011606093912448318	0.0004497752876731291	0.00048141756183255963	-1.1993387629009158e-06	-1.163984947592851e-06	5.7690638278615024e-08	5.95772176510713e-08
56.96731	56.99761	-0.1428571428571429	-0.15076536658921305	-0.15103938482129464	0.00043287039710733705	0.00048008246409745817	-0.012613598194652671	-0.010726859551913992	0.0004443410906060187	0.0004857837670196996	-1.2650284018305757e-06	-1.0758057919881648e-06	5.852270584341159e-08	5.8432206507825775e-08
56.96731	56.99761	-0.020408163265306145	-0.030110095026650106	-0.0305222583029856	0.0004588195353089417	0.00044214447297297275	-0.013653851953482276	-0.012202863789422038	0.00046556592934619807	0.00044478763081612783	-1.3693563287014618e-06	-1.223835501897707e-06	6.217957362980688e-08	5.7764258489466713e-08
56.96731	56.96731	0.1020408163265305	0.0911109359089823	0.09189890871427181	0.00045748246771556934	0.00042658471523833246	-0.010081874414431716	-0.0085330920045018	0.00046181380970070025	0.0004302952497291919	-1.0111196885399373e-06	-8.55790994333748e-07	5.535766319812458e-08	5.0208499863584076e-08
56.96731	56.97488	0.22448979591836737	0.19577817519500304	0.19728095844017995	0.0004314758744079757	0.0004356606474087564	0.0054450616620331516	0.006458024173391086	0.000436173627850987	0.0004360592221213412	5.460898267007473e-07	6.476806913440062e-07	4.6708846370831814e-08	4.785150304021132e-08
56.97488	56.96731	0.346938775510204	0.2710504837684122	0.27231832931983446	0.0003060885080666521	0.0003042355459468845	0.05333630899151465	0.055747042793833204	0.0003026567669494302	0.0003011206610225986	5.349143415055125e-06	5.59091794141342e-06	1.6325124976359447e-07	1.7035286474048547e-07
56.98246	56.96731	0.46938775510204067	0.31447760209159165	0.3167197345912105	0.00032319536012652753	0.00023681198168814215	0.1341718095350767	0.13418909403218016	0.0003191054724395106	0.00023290818478403618	1.345620394494802e-05	1.3457937421741065e-05	4.0477781913377406e-07	4.0423810223328724e-07
56.99761	56.97488	0.5918367346938775	0.34237929272145845	0.34205846872170786	0.00023138522764095111	0.00026494402951215414	0.22936253849090077	0.2307730444255807	0.0002298329412267219	0.0002643303922838984	2.300296244016656e-05	2.314442327004119e-05	6.901739817697683e-07	6.945370609881208e-07
56.99761	56.97488	0.7142857142857142	0.35885083311658517	0.35922437040807953	0.00022494007912183509	0.0001602980500558559	0.33178955975478447	0.33281389249661913	0.0002307314995399809	0.00016324069429633265	3.3275454794382156e-05	3.3378185989030103e-05	9.980980867625925e-07	1.0010442841602908e-06
56.99761	56.96731	0.8367346938775511	0.3714324961209683	0.3736346393260552	0.00016704991705884483	0.0001614004303439187	0.43806510847703223	0.43948653093619855	0.00016905978839248275	0.00016157246993185321	4.393391921342215e-05	4.407647487074502e-05	1.3175538738400847e-06	1.3218189134250349e-06
57.00521	56.99761	0.9591836734693877	0.3830203318060107	0.3835565532220244	0.0001817246509946607	0.00017062789232412723	0.5505144065589254	0.5517070368626578	0.00018504217925186946	0.00017144223923520378	5.5211554162965134e-05	5.533116406204571e-05	1.6557307930503871e-06	1.659302611668591e-06
57.00521	56.99761	1.0816326530612246	0.3922547044656842	0.3929613315489906	0.00016449860555842934	0.00016961709079651045	0.6628850193928917	0.6642159234339221	0.00016099628061617881	0.0001669213525251989	6.648129770262678e-05	6.66147751914474e-05	1.9936375466352238e-06	1.997644891434902e-06
56.99761	56.99761	1.204081632653061	0.4020002978082525	0.4026787542269885	0.0001606057515807108	0.0001522611298427591	0.7763131673167597	0.7787657440008111	0.00015434089263127702	0.0001441533090609938	7.785710232842842e-05	7.81030733126879e-05	2.334749295792313e-06	2.342118527149005e-06
56.99761	56.99761	1.3265306122448979	0.4088902885791001	0.40890028592753425	0.000149594202310981	0.00014947823846935918	0.8922311898020513	0.8944044878852182	0.00014761318351767366	0.00014649846256921699	8.948261857406993e-05	8.97005804718903e-05	2.6833527382446992e-06	2.68988804123618e-06
56.99761	56.99761	1.4489795918367347	0.4159166068285952	0.41671639080151435	0.0001509596695984762	0.00015281197796873275	1.009071206235149	1.009930427683266	0.0001451078149041044	0.000147053141308704	0.00010120060237038904	0.00010128677441412756	3.034733531351831e-06	3.0373184805416333e-06
56.99761	57.01281	1.5714285714285712	0.41953655581161664	0.42124519354399936	0.00013877514542113488	0.00014376757166544924	1.124362894399654	1.1269915037372134	0.0001328993208848816	0.00013980636565359965	0.00011276330301871969	0.00011302692846627353	3.3814551726343927e-06	3.389363232560689e-06
56.99761	57.02801	1.693877551020408	0.42401854888461954	0.4256481166793867	0.0001364195548085398	0.00013762056787275663	1.2424360236453125	1.2431797126874355	0.00013208281718891755	0.00013445092934484732	0.00012460495673907458	0.00012467954194037063	3.736547607436677e-06	3.7387850260187277e-06
56.99761	57.02801	1.816326530612245	0.43025462078730703	0.4296275143848902	0.00013655559865368913	0.00013778877942489677	1.3595862516675146	1.361672217556889	0.00013449005310109608	0.00013540956133135598	0.00013635405191731167	0.0001365632551957566	4.088866046332687e-06	4.095139687829901e-06
56.98246	57.02801	1.9387755102040813	0.43353602459393437	0.43531464376535617	0.0001368288979366496	0.0001402970103980817	1.4798012940475285	1.480254784668901	0.0001351433682128661	0.00013650566341305266	0.0001484105199124991	0.00014845600086941138	4.45040128804004e-06	4.4517655355135284e-06
