# IV Measurement - T = 31.00 °C - Pull number 1
# Td_go[°C]	Td_return[°C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
# 
30.911	30.92725	-1.0	-1.0082965626024587	-1.0101306216152013	0.0004454434350295084	0.0005365227601460652	-0.011213553902129992	-0.011724356198435924	0.00044834798624834854	0.0005434506711906775	-1.1246167788717272e-06	-1.1758455720023994e-06	5.620646265454358e-08	6.491425846978237e-08
30.911	30.9652	-0.8775510204081632	-0.8858508566921572	-0.8863102802836763	0.00015587760098741222	0.00043238233971912304	-0.011999998480189185	-0.01342414887314991	0.00014661476168801332	0.000438785325225043	-1.203489968928812e-06	-1.3463192130327862e-06	3.896957277045143e-08	5.971969137337383e-08
30.96792	31.00863	-0.7551020408163265	-0.763886841183383	-0.764348991365812	0.00015560530050145145	0.00015285809160221563	-0.012287466955181264	-0.012774162010757218	0.00014612060678833195	0.00014323171669743115	-1.2323204247499012e-06	-1.2811314823746081e-06	3.9753247128862386e-08	4.1015030933450786e-08
31.04398	31.03582	-0.6326530612244898	-0.6402391813248347	-0.6399947007131267	0.00015869308005889946	0.00015737552107852364	-0.011697519790003412	-0.012639524877485986	0.00014477609644492052	0.00014732683484726863	-1.1731541259656415e-06	-1.2676286107196857e-06	3.8057946931293e-08	4.0783007323846194e-08
31.07664	31.0603	-0.5102040816326531	-0.5212034800689332	-0.520754053814325	0.00015787350759062876	0.00015606453729372945	-0.01150557342905767	-0.012604046156209957	0.00014514202534192413	0.00014472949658584334	-1.153903663530004e-06	-1.2640704198385275e-06	3.753920869948584e-08	4.058969586224081e-08
31.0821	31.06846	-0.3877551020408163	-0.3965092795993005	-0.3952128052773622	0.00015242215183613726	0.00015392952201867	-0.012815098971636778	-0.012926994675594383	0.0001426791233314835	0.00014823551436913735	-1.2852370847093349e-06	-1.2964591992372263e-06	4.111104758930039e-08	4.16224575754354e-08
31.06301	31.05486	-0.26530612244897966	-0.27599715174353945	-0.2746915889291312	0.0001588746473525287	0.000157607585152519	-0.011954967799036232	-0.013088921811023729	0.00014580233808159315	0.00014616574500251762	-1.1989738039350348e-06	-1.3126990082262289e-06	3.8813421036176e-08	4.200478448801494e-08
31.03039	31.00863	-0.1428571428571429	-0.15133703314967514	-0.15103620384679287	0.00015209994130458917	0.00015458595096178116	-0.012724128667068318	-0.013372297304756114	0.00014252602590496025	0.0001459986525562503	-1.2761135961356251e-06	-1.3411189755045746e-06	4.0849304972011496e-08	4.279872875048375e-08
30.99505	30.94621	-0.020408163265306145	-0.03047817906353879	-0.030957142956960313	0.0004530185985478851	0.00015616052823690116	-0.013649758112834288	-0.014086419235727256	0.0004574701736120646	0.00014647044367261462	-1.3689457539699416e-06	-1.412738866284952e-06	6.156400206416757e-08	4.4838295104663427e-08
30.94351	30.9029	0.1020408163265305	0.09308132235720595	0.09322083077644482	0.0005083917800997984	0.00014882366429086168	-0.01152194592694053	-0.012498974878934949	0.0005144903002828693	0.00014034609100122767	-1.1555456751519937e-06	-1.253532732818669e-06	6.215412497155696e-08	4.013849279368153e-08
30.9056	30.911	0.22448979591836737	0.20975128738437004	0.21041429335479067	0.0004536616614977896	0.00041425078132064085	-0.008403913716338376	-0.010120081613385862	0.0004544439321543022	0.0004137795899666415	-8.428355948589285e-07	-1.0149515207487576e-06	5.2115279674589004e-08	5.146277792110026e-08
30.911	30.95977	0.346938775510204	0.3107458644173867	0.3099524386503504	0.00014964923753504436	0.0003775536474522743	0.01512938283197296	0.01681234703100254	0.0001435746193789672	0.0003815429770059253	1.5173385650359e-06	1.6861244640459872e-06	4.772443376028465e-08	6.340915766270567e-08
30.97335	31.00048	0.46938775510204067	0.36637792763764565	0.3661984297237087	0.00014309230220664398	0.0001455089732547467	0.07995352585474969	0.07950822262645141	0.00014408680245741424	0.0001449140006876905	8.018606544453884e-06	7.973946708098626e-06	2.408874796895396e-07	2.395557109963509e-07
31.04125	31.03582	0.5918367346938775	0.3967803189510929	0.396451769728058	0.00015363326250080522	0.00015527563009407416	0.1698856748970286	0.1700612483496688	0.00014282984533413282	0.00014588968245256236	1.7037977624814825e-05	1.7055586034466833e-05	5.111179589159862e-07	5.116544579192342e-07
31.07391	31.06301	0.7142857142857142	0.41715446033471504	0.41703812755293573	0.0001526147465415668	0.00014932370233938162	0.27296404831427923	0.27221535536225355	0.00014367132773890774	0.0001383608351172776	2.737579463587195e-05	2.7300707588231226e-05	8.21043363231211e-07	8.187828791872042e-07
31.07118	31.07391	0.8367346938775511	0.43315294437893476	0.4332810938209755	0.0001503018057217585	0.00015236750781865127	0.379807256134625	0.37917045887291856	0.0001395575517686715	0.0001406638972622605	3.8091190064649984e-05	3.802732513016935e-05	1.1423248246376673e-06	1.1404112204343375e-06
31.05215	31.07391	0.9591836734693877	0.44577368981861054	0.44503979362018764	0.00014967057727143565	0.000152013705229396	0.49032478546935104	0.49029749274883555	0.00014543088840013744	0.00014946174598334626	4.917508629719698e-05	4.9172349087236544e-05	1.4746835837885884e-06	1.4746055611447118e-06
31.02494	31.03311	1.0816326530612246	0.4541187473201426	0.4546217990643391	0.000148641885604754	0.00015237641788032064	0.6021031733822558	0.6021950541300164	0.00014025494651236087	0.0001440907710095476	6.0385435100015626e-05	6.0394649897704986e-05	1.8108303925283826e-06	1.8111097366641747e-06
30.98419	30.95977	1.204081632653061	0.4610773562552428	0.4624828925600991	0.00015888683641140155	0.00015106462592774924	0.7173211762187497	0.7185092579670194	0.00015011098678372804	0.00014282957761563972	7.194074578465046e-05	7.205989950526721e-05	2.1573369534798588e-06	2.160904960513299e-06
30.93538	30.9029	1.3265306122448979	0.4692456443508756	0.4699118312965332	0.00015735466714750075	0.00014975718626771304	0.8334111364485947	0.8327484099496483	0.00015253048241723862	0.00014304983816099403	8.358350581171344e-05	8.351704041216009e-05	2.506462110438283e-06	2.5044634249857674e-06
30.9002	30.911	1.4489795918367347	0.47632467589211447	0.47684181146111754	0.00014791193177960665	0.00014588790973089528	0.947890454461509	0.9481442617627689	0.00014133303248003195	0.0001401043175579624	9.506473317235072e-05	9.509018772066682e-05	2.850737798418079e-06	2.851500483672408e-06
30.92184	30.95977	1.5714285714285712	0.48003096265219947	0.48170324934968944	0.0001545418456572582	0.00015290849422272188	1.0666267621689314	1.0661014030577705	0.00014224700678049795	0.0001435871470428191	0.00010697289761999112	0.00010692020891162075	3.207823959046551e-06	3.2062446012152025e-06
30.9869	30.99777	1.693877551020408	0.48573354404344005	0.4872199679856273	0.000152525549860329	0.00014511025120414096	1.1834781499817024	1.1823687572613166	0.00014280698608159072	0.00013882943134838375	0.0001186920218615688	0.00011858075992992845	3.5592419879936862e-06	3.5559040233572662e-06
31.05215	31.03582	1.816326530612245	0.4894452855262361	0.49049637038765415	0.000150924954711415	0.00015407126602448695	1.3006852340314854	1.3006825049003627	0.0001471351778762769	0.00014747429771477666	0.00013044681917876697	0.0001304465454719048	3.911731667442236e-06	3.911723588310415e-06
31.07391	31.06301	1.9387755102040813	0.49436125574211515	0.49494791786905523	0.00014631580782336598	0.00015061078372012167	1.4206050752907315	1.4193478557177943	0.00014210376564084923	0.00014676600686239352	0.0001424736812045664	0.0001423475935931997	4.272376661742987e-06	4.268597285097922e-06
31.07391	31.07937	2.061224489795918	0.4989909373745909	0.49999339876727955	0.0001506041197578973	0.0001505004474470168	1.5392836165531598	1.5392795230093208	0.0001416595320234746	0.00014377475407109454	0.00015437605220671545	0.00015437564166175116	4.629290641334315e-06	4.629278986301588e-06
31.05215	31.07391	2.183673469387755	0.5023000592486913	0.5036824198821775	0.00014233583711248618	0.00014830345797642338	1.659523221090306	1.6594199685259627	0.00014121288353373594	0.00014460770468703894	0.00016643498356135852	0.0001664246282745926	4.990899653060701e-06	4.990590108520708e-06
