# IV Measurement - T = 26.00 °C - Pull number 0
# Td_go[°C]	Td_return[°C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
# 
26.11824	25.89529	-1.0	-1.0120805589847945	-1.0116933889454347	0.0005631989868442095	0.00015292320625210384	-0.011393676175881584	-0.011545598148508085	0.0005687557059295472	0.0001430696567199128	-1.1426813936296845e-06	-1.1579177764023754e-06	6.654173101960187e-08	3.757032407267715e-08
26.35216	25.89752	-0.8775510204081632	-0.8884933376569444	-0.8879502998518064	0.0005843052847286739	0.0004353943858258811	-0.011680235884512674	-0.011821694047358888	0.000587562999861482	0.00044096694782635266	-1.1714207085059345e-06	-1.1856076669701022e-06	6.860280020623721e-08	5.6743683045143776e-08
26.49096	25.9176	-0.7551020408163265	-0.7664407093199386	-0.767496338433003	0.0005534784511040637	0.0004950354152925637	-0.011112576344999963	-0.010129176696778486	0.0005599324138227609	0.000498495780896993	-1.1144896544980406e-06	-1.0158636743334155e-06	6.534840423344287e-08	5.8544258955334435e-08
26.53436	25.93997	-0.6326530612244898	-0.6426753534260974	-0.643202031860775	0.0005710625762308129	0.00015606983630707023	-0.01026927513301825	-0.010364794085571954	0.0005736928536730792	0.0001463190458431533	-1.0299142646693662e-06	-1.039493940986055e-06	6.530106346100853e-08	3.4452686176247906e-08
26.5138	25.96452	-0.5102040816326531	-0.5225540308948604	-0.5227080810082734	0.0005773693960800387	0.0001546401944216072	-0.011591995936540755	-0.01061996783428269	0.0005816592179340725	0.0001433963786160372	-1.1625710496982004e-06	-1.0650855314695308e-06	6.795837240632285e-08	3.502716517851739e-08
26.44992	25.98464	-0.3877551020408163	-0.3974931095358608	-0.395805829781084	0.00048009821016650376	0.00015221294633334089	-0.011859903253939878	-0.011239936793210947	0.0004868840577180834	0.00014318053635198265	-1.1894397005255117e-06	-1.12726274127078e-06	6.046944505172533e-08	3.6726777978155454e-08
26.36578	26.00259	-0.26530612244897966	-0.2772618163265665	-0.2771613884172961	0.0005604082698071562	0.00015690725026565726	-0.012684555688055266	-0.009911303436703598	0.0005655406368171137	0.00014862442599579927	-1.2721447886927354e-06	-9.940129813161768e-07	6.83538224460424e-08	3.3326593496726104e-08
26.25929	26.02274	-0.1428571428571429	-0.15311247128931288	-0.15262987201759612	0.00015604353843498765	0.000151227575852485	-0.01147646018630804	-0.011095746360484106	0.00014894776322351393	0.00014237162408429604	-1.1509838718591956e-06	-1.1128017611557623e-06	3.7608484761912215e-08	3.629606119126858e-08
26.14419	26.03845	-0.020408163265306145	-0.032776660376770475	-0.03333514856672059	0.0001554318669678345	0.00015505000295305355	-0.013233565749559762	-0.010616783878963225	0.00014402477402817928	0.00014463811596496454	-1.3272054708213582e-06	-1.0647662099050472e-06	4.2338977195728756e-08	3.506976193922334e-08
26.03409	26.05636	0.1020408163265305	0.09172986258163347	0.09135405316465416	0.0001511903794321446	0.00015915775741427693	-0.012273821560899303	-0.011050260844079668	0.00014341460917972334	0.00014681388660763603	-1.2309519166482102e-06	-1.1082399803509846e-06	3.961576617984618e-08	3.634851415206048e-08
25.95782	26.06758	0.22448979591836737	0.20997259232283716	0.20915371863806156	0.00043333567472598756	0.00015158225993656664	-0.008733229448086993	-0.008453947451636398	0.0004392404082680736	0.00014223391566166717	-8.758629473560318e-07	-8.478535203727207e-07	5.12872560049995e-08	2.9152893110221273e-08
25.89752	26.07882	0.346938775510204	0.313096150307963	0.3138600386133182	0.0003886311323515982	0.00014917414595419759	0.013041143744367033	0.01242527020756415	0.0003924759058540055	0.00014471417423730617	1.30790730562301e-06	1.2461408291609818e-06	5.556588917790474e-08	4.0087499897611955e-08
25.87747	26.08331	0.46938775510204067	0.37340697237434495	0.37338743216477427	0.00014629688056243503	0.00014342119956093513	0.07194580028358455	0.07295967275353824	0.00014251415077660802	0.00014096124656353589	7.215504992837684e-06	7.317187117996012e-06	2.1684263474699476e-07	2.1987516525610324e-07
25.92652	26.07658	0.5918367346938775	0.40669541617287436	0.40573748870937637	0.00014834329226685858	0.0001558695042521553	0.16100462738582805	0.16229323146722321	0.00013808031034614427	0.00014649856044368954	1.614728987923258e-05	1.627652506942365e-05	4.844061574069569e-07	4.883046306620723e-07
25.99137	26.0586	0.7142857142857142	0.42787888950796094	0.42755442925580833	0.0001942324547714289	0.00014880067648555603	0.26396837596796735	0.26400567409329584	0.00018540873176751144	0.0001439561198772387	2.6473611068896535e-05	2.6477351729344683e-05	7.940809189317658e-07	7.941065984157342e-07
26.03845	26.02274	0.8367346938775511	0.4416297885800008	0.44282401571419244	0.00019900807317565876	0.0001475006456244047	0.37131101795764754	0.3700346943082134	0.00019444558714502036	0.00013949818636639868	3.7239095171762866e-05	3.711109159645105e-05	1.1168576033979925e-06	1.1129368384949575e-06
26.04963	25.96005	0.9591836734693877	0.4546790540641099	0.4549235346033723	0.00015500218515405924	0.00015471599920265645	0.4798494705142789	0.48038847391079476	0.00014724479929133956	0.00014751415213686076	4.812450812499036e-05	4.8178565230247195e-05	1.443183360424839e-06	1.4448045603850234e-06
26.0362	25.90423	1.0816326530612246	0.46505039340796145	0.4639365979074109	0.00016259215233504871	0.00015409087257403897	0.5921782332033729	0.5932039316499074	0.00015041595761042774	0.00014356363461525315	5.939005447832443e-05	5.949292264064862e-05	1.7809912071717687e-06	1.7840701218829884e-06
26.00034	25.90646	1.204081632653061	0.4725761246542355	0.4728033371186481	0.00015360126413060013	0.0001522329130047187	0.7079775409687674	0.7071406074248103	0.00014462279667713917	0.00014572398098377482	7.100366472457802e-05	7.091972795354632e-05	2.129233611845072e-06	2.1267174176007004e-06
25.969	25.93099	1.3265306122448979	0.47915665204855307	0.47944839285285884	0.00015444630891819905	0.00015086673400581895	0.8203258598766331	0.8218000480917502	0.00014618819320119357	0.00014158509565695093	8.227117238758732e-05	8.241901996707956e-05	2.467106100286876e-06	2.4715368264993924e-06
25.94219	25.95558	1.4489795918367347	0.4869264094816062	0.4868205284731899	0.00014954508518315852	0.00014964184009749653	0.9359336761625954	0.9381983982076881	0.00014348812429548302	0.0001462389099770302	9.386557779185591e-05	9.409270867592901e-05	2.814780318241481e-06	2.821592615187143e-06
