# IV curve: IV_20250408_093216
# Vcc[V]	Vd_Go[V]	Vd_Return[V]	Id_Go[A]	Id_Return[A]
# 
-3.0	-2.9856887523208187	-2.98709172329716	1.6923281618353535e-07	3.640102820935187e-07
-2.836734693877551	-2.825863455555636	-2.826032858836287	2.692986712975691e-07	3.753486787235781e-07
-2.673469387755102	-2.663093113481875	-2.6623659191033027	4.926920857905325e-07	5.710260165421763e-07
-2.510204081632653	-2.4949059995055776	-2.4958191242690893	6.077858152677013e-07	6.393713521380802e-07
-2.3469387755102042	-2.3367430581498336	-2.3375955834331243	5.492490907893556e-07	6.852198739016501e-07
-2.183673469387755	-2.1725123591186457	-2.173509496866683	5.400703899692133e-07	6.703269766972341e-07
-2.020408163265306	-2.0120893306439496	-2.0121894116491235	5.465944695540838e-07	7.284587586250812e-07
-1.8571428571428572	-1.8476805056746914	-1.848504108433527	6.563339517472148e-07	6.555690626356625e-07
-1.6938775510204083	-1.68336441639865	-1.6842972819186053	5.876286646789902e-07	6.278979767577529e-07
-1.5306122448979593	-1.523593292006662	-1.5240684474255735	6.681222875695897e-07	7.175703002564125e-07
-1.3673469387755104	-1.3571236239307127	-1.3572099323544178	7.297635719805997e-07	1.0422893948287201e-06
-1.2040816326530615	-1.1944767762596433	-1.1924039968231144	6.714968082741646e-07	8.016184165752487e-07
-1.0408163265306123	-1.0341395971015492	-1.033362821315408	6.967382426697257e-07	8.120119463124497e-07
-0.8775510204081636	-0.8671309604667594	-0.866766445086869	6.805406577640283e-07	7.26254195516729e-07
-0.7142857142857144	-0.7019439824893162	-0.7019100099878202	7.50235682502815e-07	7.406520348871298e-07
-0.5510204081632657	-0.5433141491929697	-0.543966053273758	6.564239390952894e-07	7.496057670259187e-07
-0.38775510204081653	-0.37674210463721597	-0.3766190692636485	7.300785275348931e-07	7.069518017594685e-07
-0.22448979591836737	-0.21255777342022175	-0.2111639841911405	5.614423692605429e-07	7.455563446177272e-07
-0.06122448979591866	-0.05389396772355113	-0.05408448897851438	6.857147855776333e-07	8.090423720013415e-07
0.1020408163265305	0.10939652040088008	0.11009800588903429	8.930454733097449e-07	7.657134944763178e-07
0.2653061224489792	0.2039180172307693	0.20836749196956467	7.908228790213484e-06	7.354132131242702e-06
0.4285714285714284	0.23408327072459142	0.23875769823213644	2.110693297757982e-05	2.07203476277786e-05
0.5918367346938771	0.2507210560715104	0.2556732309134035	3.6285582250611605e-05	3.575231760050966e-05
0.7551020408163263	0.26076772176854013	0.26508727476548527	5.1383332838576435e-05	5.0926737463147406e-05
0.9183673469387754	0.2692782848672321	0.27300194245520254	6.681700612955964e-05	6.652229783715664e-05
1.0816326530612246	0.2762784489532108	0.28039003536152823	8.26849129571613e-05	8.231969958568189e-05
1.2448979591836729	0.2813807477683289	0.28477386244949066	9.842355310948736e-05	9.795575418915722e-05
1.408163265306122	0.28583022059361424	0.287842400498444	0.00011406370208326653	0.00011373740819232101
1.5714285714285712	0.2885369996761779	0.2917106706052421	0.00013036116318677234	0.00012986893269714735
1.7346938775510203	0.29298555620773176	0.29562209492400765	0.00014595357395997356	0.00014571618763489883
1.8979591836734686	0.2966095918382876	0.29810024850061534	0.00016202264734959128	0.00016173662278355771
2.0612244897959178	0.30014731904490827	0.302013509683946	0.00017818094313443717	0.00017787903580549175
2.224489795918367	0.3030671146631418	0.3045233397733676	0.0001941966092202643	0.00019388547804898414
2.387755102040816	0.30607230053058776	0.30620864947691095	0.00021038707529471025	0.00021016890106405204
2.5510204081632653	0.30806703511568595	0.3090269875670466	0.0002262343301036847	0.00022609098030648803
2.7142857142857135	0.3097220450533797	0.31152488112143045	0.0002423012437367245	0.00024232059086465288
2.8775510204081627	0.31254543232572807	0.3143129186669543	0.00025843735764913446	0.000258192997180681
3.040816326530612	0.3142064103991194	0.3162612854285554	0.0002748450082750158	0.0002744974773045001
3.204081632653061	0.3167694951375782	0.31855809949742686	0.0002908085264140171	0.0002905828833115788
3.3673469387755093	0.31927611213058993	0.3197512675495949	0.00030693685653212984	0.00030696299783662646
3.5306122448979584	0.32124100603719996	0.322403415236157	0.0003230583924731315	0.00032292143170995163
3.6938775510204076	0.32353093379565095	0.3236695781787809	0.00033916130105467364	0.00033911293289221674
3.8571428571428568	0.32569553070445134	0.32636809368884007	0.00035540535479993633	0.00035539347647914544
4.020408163265306	0.327742142161383	0.32857630389696946	0.0003716080592318984	0.00037147978236580406
4.183673469387754	0.3289458692228624	0.3299393342728398	0.00038772046149631407	0.00038776109054800955
4.346938775510203	0.33064311519780093	0.33079966398802374	0.00040379808367742873	0.00040382593474025315
4.5102040816326525	0.33242621050931326	0.3328499481438462	0.0004199070664252456	0.0004201175016435877
4.673469387755102	0.33445170394762247	0.33355464724352996	0.0004361264634098216	0.00043607984999911284
4.836734693877551	0.3356728763288333	0.33635921193406276	0.0004523431160913315	0.0004522164140026182
5.0	0.3379807084943773	0.3385536495213514	0.0004685402413787731	0.00046856156836394926
