# IV curve: IV_20250402_182832
# Vcc[V]	Vd_Go[V]	Vd_Return[V]	Id_Go[A]	Id_Return[A]
# 
-5.0	-5.010448720510925	-5.009945217689809	-2.156105451193322e-06	-2.2245156701708346e-06
-3.888888888888889	-3.8999737029153048	-3.899807837797713	-2.2396623489911515e-06	-2.3395940335654774e-06
-2.7777777777777777	-2.7884562345329593	-2.787416510249867	-2.096019080965259e-06	-2.3259028924193173e-06
-1.6666666666666665	-1.6788682543620677	-1.6779203239968763	-2.3393211204570363e-06	-2.3024778502904437e-06
-0.5555555555555554	-0.567902912378206	-0.5671267545261495	-2.210460646031843e-06	-2.3073448008076953e-06
0.5555555555555554	0.3984694161112808	0.39927238496051487	1.2248066666533207e-05	1.2194484725512474e-05
1.666666666666667	0.4957813336446939	0.49437852388941056	0.00011369082565227313	0.00011380390265174474
2.7777777777777786	0.5266417849861414	0.5267317611220489	0.0002216962352750856	0.00022170710631405331
3.8888888888888893	0.5461152564610875	0.5464306273616921	0.0003309324376467881	0.00033098251710430204
5.0	0.5601469894133517	0.5598434335507134	0.00044062959006779394	0.0004405688669003383
