# IV curve: IV_20250408_092910
# Vcc[V]	Vd_Go[V]	Vd_Return[V]	Id_Go[A]	Id_Return[A]
# 
-3.0	-1.645623303524651	-1.6450099628098762	-0.00013418613898799842	-0.0001340158830562899
-2.836734693877551	-1.6217741741925527	-1.6210162209589514	-0.00012052391035389971	-0.00012053475382100904
-2.673469387755102	-1.59244170541334	-1.5934916382087645	-0.00010696273743402336	-0.00010680944410439044
-2.510204081632653	-1.561099350324442	-1.5605328365194215	-9.363643131211699e-05	-9.365901811912483e-05
-2.3469387755102042	-1.5282438469758344	-1.5270750105538182	-8.079367183346418e-05	-8.08370007082621e-05
-2.183673469387755	-1.490142351085386	-1.4884473999692007	-6.826613779285312e-05	-6.832354967680134e-05
-2.020408163265306	-1.445728861907527	-1.4454355050836196	-5.633481446869809e-05	-5.630115922638361e-05
-1.8571428571428572	-1.3950690306690916	-1.3937463999810207	-4.470089910135949e-05	-4.475646624608994e-05
-1.6938775510204083	-1.3358123295018764	-1.3346866466461647	-3.4079700570938274e-05	-3.4188900133902486e-05
-1.5306122448979593	-1.2703060720845019	-1.2682585424528476	-2.4301862623734037e-05	-2.4502129507742004e-05
-1.3673469387755104	-1.1895966780824074	-1.18722549186732	-1.6154234610928905e-05	-1.6281161667839518e-05
-1.2040816326530615	-1.094599566907883	-1.0930285699664406	-9.52019243470496e-06	-9.523431976745929e-06
-1.0408163265306123	-0.9795968047216064	-0.9784307228186456	-4.79235078775249e-06	-4.816062435746779e-06
-0.8775510204081636	-0.8439130762067628	-0.842521582412556	-1.8835569904416323e-06	-1.6698370835000699e-06
-0.7142857142857144	-0.6914322592076195	-0.6907909141657131	-1.9854519307576074e-07	-2.7296467967228413e-07
-0.5510204081632657	-0.5412386152599332	-0.5387636752508613	4.0005018037046304e-07	4.086889653782431e-07
-0.38775510204081653	-0.3761471274168967	-0.37520186658413635	6.289776851846729e-07	5.614873643688056e-07
-0.22448979591836737	-0.21173325251922376	-0.21158955812485059	7.21124796395852e-07	7.071768307452347e-07
-0.06122448979591866	-0.055054999674748556	-0.054170797402449705	7.21169771873613e-07	7.802014272542207e-07
0.1020408163265305	0.11114610235538502	0.1107682734561425	7.20179910125858e-07	7.290436788525024e-07
0.2653061224489792	0.2714125820101829	0.27163523937682654	1.4656795440519567e-06	1.472833531690376e-06
0.4285714285714284	0.38531307459131786	0.3867183410026918	5.825068321445009e-06	5.7433148340593405e-06
0.5918367346938771	0.45147904070939493	0.4523191705793861	1.5438634251716814e-05	1.556106201183043e-05
0.7551020408163263	0.4888524244067276	0.4889410282674696	2.8257186999989126e-05	2.8254082591218692e-05
0.9183673469387754	0.5120836228925119	0.5130054695751054	4.231036560977502e-05	4.2379430756257095e-05
1.0816326530612246	0.5290808726203985	0.5303291311559294	5.697689718012677e-05	5.702791996727198e-05
1.2448979591836729	0.5424862249432756	0.5437468774663242	7.203149898088825e-05	7.210200401391872e-05
1.408163265306122	0.5536989732858314	0.5540313525354542	8.721289282280792e-05	8.748784895371338e-05
1.5714285714285712	0.5628504207471311	0.561878073715776	0.0001027972046283755	0.00010285493146795596
1.7346938775510203	0.5694654105369309	0.5696674089759282	0.0001182839254898555	0.00011841679170717452
1.8979591836734686	0.5742578235021415	0.575257715775178	0.00013407777278690952	0.0001342050149149745
2.0612244897959178	0.5799638203164535	0.5811501024916077	0.00015001011052264638	0.00014993159660536088
2.224489795918367	0.5850651990758577	0.5873812948139061	0.00016577376707119264	0.00016569079880003238
2.387755102040816	0.5900655786157633	0.590119291837042	0.00018163712954120907	0.00018165787160899914
2.5510204081632653	0.5935849423279296	0.5950604491073325	0.00019768253627647196	0.00019765581017778223
2.7142857142857135	0.5974587214830639	0.598506817929043	0.00021350702424199682	0.00021357455969482308
2.8775510204081627	0.6011612600854734	0.6017185921424106	0.0002295447370649124	0.00022958185681746515
3.040816326530612	0.6046852156381919	0.6045047943051783	0.0002456182648248365	0.000245561707820038
3.204081632653061	0.6075880234237814	0.6077886462009684	0.00026163244597431567	0.0002616811740858485
3.3673469387755093	0.6106634512577888	0.6112946963796554	0.0002778856334002378	0.000277818322851966
3.5306122448979584	0.6142080647748299	0.6138403357983825	0.00029395052231774306	0.0002941042205901311
3.6938775510204076	0.6160829775586137	0.6163290483843014	0.0003099328929150552	0.0003099337028005662
3.8571428571428568	0.6197363947802965	0.6191730945879108	0.00032619863368307393	0.0003261615137992608
4.020408163265306	0.6226323178557394	0.6228572706628045	0.00034217861953530473	0.0003422740508997874
4.183673469387754	0.6245439576284318	0.6241174654697308	0.0003583159932696195	0.0003585335825100377
4.346938775510203	0.6273756084732847	0.626181522246394	0.0003745682357654701	0.00037458960774421264
4.5102040816326525	0.628292865021277	0.6284039641627255	0.0003906719992511099	0.00039063843399607433
4.673469387755102	0.6302775009486092	0.6295200072216591	0.00040680109415576433	0.00040693832475611086
4.836734693877551	0.63155743524789	0.6317103113392222	0.0004230871268748478	0.00042302359585593335
5.0	0.6334034255176286	0.6332367768157355	0.0004389858543453371	0.0004390073613049982
