# IV Measurement - T = 10.00 C - Pull number 0
# Td_go[C]	Td_return[C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]
# 
10.036200884747633	10.070669685697633	-5.0	-5.011189433144936	-5.010513248850843	0.00010909552400763427	0.00010778458005811045	-0.02055946337885839	-0.01948145658582412	0.00010564923431834456	0.00010719300836841602	-2.055946337885839e-06	-1.948145658582412e-06
10.053843719727624	10.083029182800335	-3.888888888888889	-3.8996365195998375	-3.900762584571551	9.615859192021507e-05	9.65232534375452e-05	-0.020904243621150637	-0.02088968825601978	0.00010689947637202384	0.00010780161576057876	-2.090424362115064e-06	-2.088968825601978e-06
10.079233133686776	10.082927209350965	-2.7777777777777777	-2.787880023723209	-2.7889297452556425	0.000110130566527705	0.00010869182728744194	-0.01991265931359298	-0.02068636798746057	0.00010787319490487737	0.00010689274133328608	-1.991265931359298e-06	-2.0686367987460567e-06
10.10711181794611	10.072558489023479	-1.6666666666666665	-1.6782456922459152	-1.6787682809140643	0.00010854946176839253	0.00010914655702883787	-0.020107792189681548	-0.02155059284263375	0.00010822447795237534	0.00010675659160154517	-2.010779218968155e-06	-2.155059284263375e-06
10.131394302934785	10.056531119542836	-0.5555555555555554	-0.5675593671299658	-0.5678202070406667	0.00010816658893323494	0.00010714020159638025	-0.020080046022511497	-0.019788028993267506	0.00010749761900435479	0.00010688312485783696	-2.0080046022511496e-06	-1.9788028993267506e-06
10.146649497499142	10.040717672155093	0.5555555555555554	0.4004838808961222	0.40009943740404386	0.00011014331994231515	0.00010863571752716276	0.1234945388770062	0.12295053207343408	0.00010493361730757335	0.00010444910822001104	1.2349453887700621e-05	1.2295053207343408e-05
10.14942527263532	10.030797912483251	1.666666666666667	0.496137148363964	0.4963257347094265	0.00010932851114756904	0.00010814940349114319	1.138326040140402	1.1380021848217656	0.00010755377314997261	0.00010522759995374955	0.0001138326040140402	0.00011380021848217657
10.139090836676422	10.030850130054423	2.7777777777777786	0.5260564856778147	0.5279491655063716	0.00011029917730202068	0.00010918410736640157	2.218828623582843	2.2178620563106097	0.00010629087525052962	0.00010708454042014953	0.0002218828623582843	0.00022178620563106097
10.117990687349907	10.042336148666305	3.8888888888888893	0.5472235988624921	0.5476343989981501	0.00011072081711534703	0.00010895602303756217	3.309935245998258	3.3091961073053815	0.0001086748777170009	0.00010651040467888167	0.0003309935245998258	0.00033091961073053813
10.090872452745652	10.0637286871381	5.0	0.5607527378333295	0.5618051859786348	0.00010754531857411559	0.00010685886119212241	4.407196059091508	4.406455099993366	0.00010969872416753963	0.00010783153987455183	0.00044071960590915077	0.0004406455099993366
