# IV Measurement - T = 26.50 C - Pull number 1
# Td_go[C]	Td_return[C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
#  - T Return Leg
26.43626	26.49783	-1.0	-0.9391603539308344	-0.9387272869738046	0.0001652425048485606	0.00015748598629073662	-0.08500607540612688	-0.08560557454250486	0.00014817241772847805	0.0001437819522694285	-8.525331000514179e-06	-8.585455274546671e-06	2.560803145338136e-07	2.578552429295136e-07
26.43399	26.49783	-0.9393939393939394	-0.883433316059284	-0.8821491112104239	0.0001597776550083785	0.00015893043334054378	-0.08007680974533155	-0.08077228332604483	0.00014553051081725684	0.00014862603201294924	-8.030970789823643e-06	-8.100720421827783e-06	2.412662949486168e-07	2.433728936666031e-07
26.43399	26.49554	-0.8787878787878788	-0.8275545002613653	-0.826332551412021	0.00014552540391872163	0.0001485140937873242	-0.07526307730201726	-0.07612229875013413	0.00014372872084061564	0.00014925170499873762	-7.5481975029603105e-06	-7.63436954669884e-06	2.2680603947774298e-07	2.2942038572519665e-07
26.43171	26.49325	-0.8181818181818181	-0.7748616576394401	-0.7725100087461053	0.0001603162855099407	0.00015815172515445434	-0.06966108081974769	-0.07173158163066772	0.00014888692735077016	0.00014608969237676314	-6.986368550772007e-06	-7.1940208234547905e-06	2.1003143037230394e-07	2.16223797493232e-07
26.43171	26.49096	-0.7575757575757576	-0.7172828381827866	-0.7147716860260984	0.00016377209398660077	0.0001610488913591597	-0.06571066352123263	-0.06773613366864627	0.0001489810445681227	0.00014852631831352333	-6.59017786794029e-06	-6.793313977399084e-06	1.9818344904894483e-07	2.0425473287473707e-07
26.42944	26.48867	-0.696969696969697	-0.6591491658880374	-0.6575714025351563	0.00015768127432359456	0.00016279253212571134	-0.06154964827116752	-0.061508256449156584	0.00014729943384197026	0.00015307993801636543	-6.172866138919619e-06	-6.168714918178376e-06	1.856940564256311e-07	1.8561701938698138e-07
26.42716	26.48867	-0.6363636363636364	-0.6032907990358312	-0.6022360787704124	0.0001549006895023166	0.00015481867247435884	-0.05638886131973622	-0.057003825535845126	0.00014707932366410064	0.00014927536311304607	-5.655286462715497e-06	-5.716961742638163e-06	1.702251703534366e-07	1.7208676293692928e-07
26.42716	26.48639	-0.5757575757575757	-0.5473156453290864	-0.5474851459383396	0.0001539822365572509	0.00015825396001406986	-0.05335816121153495	-0.052451634822129174	0.00014487434259363062	0.00014493510378802042	-5.351334992632129e-06	-5.260418696432572e-06	1.6112671782649723e-07	1.584122711841198e-07
26.42489	26.48183	-0.5151515151515151	-0.4925428998276975	-0.4919671434433793	0.00016331962862846042	0.00015722305183034935	-0.04725536916523405	-0.04860492491421298	0.00015098053003600778	0.00014243739178720373	-4.739280830933111e-06	-4.874628915275597e-06	1.4292101687073821e-07	1.4687167220192397e-07
26.42489	26.47955	-0.4545454545454546	-0.43423200179093735	-0.4346341678529477	0.00015556737772381526	0.00015951376997124054	-0.0441800920239237	-0.044492578762746766	0.00014539408655817873	0.0001497030709556634	-4.430858692600913e-06	-4.462198251203166e-06	1.3366573669680482e-07	1.3464744701322256e-07
