# IV Measurement - T = 52.50 C - Pull number 1
# Td_go[C]	Td_return[C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
#  - T Return Leg
52.38038	52.71166	-1.0	-0.911740353725461	-0.9109596516979411	0.0005429795472909164	0.0004890233701113293	-0.11351821794181238	-0.11263170518248766	0.0005509632605964819	0.0004949884865206681	-1.1384837823870463e-05	-1.1295928711512151e-05	3.4583955274865843e-07	3.4234897334869273e-07
52.38038	52.69885	-0.9393939393939394	-0.8577869363511765	-0.857406582527927	0.0005578244230561558	0.0005131697101336409	-0.106541192628274	-0.10764512616907995	0.0005616575096432235	0.0005161011064020276	-1.0685106070431652e-05	-1.0795820496347403e-05	3.2532755387655557e-07	3.278455927211221e-07
52.38038	52.69244	-0.8787878787878788	-0.8052931318480768	-0.8039253125044268	0.0005777888602309488	0.0005515056873574969	-0.09913296780271455	-0.10022825909431417	0.0005822479264241488	0.0005554340342453898	-9.942128954238747e-06	-1.0051976641692324e-05	3.037991164299629e-07	3.065322612409889e-07
52.38671	52.69244	-0.8181818181818181	-0.7501586640835739	-0.7493897772747125	0.000568033787825487	0.0005671828393529577	-0.09333402117404022	-0.09422780947410916	0.0005737773526981754	0.0005696391352194464	-9.3605477057507e-06	-9.450186488226773e-06	2.8653223785083287e-07	2.8908366618819384e-07
52.38671	52.69244	-0.7575757575757576	-0.694302569550827	-0.694851514864685	0.0005133781802877793	0.0005055430487916614	-0.08803313685976177	-0.08805315039552863	0.0005176092655848869	0.000508480977616909	-8.828917546862078e-06	-8.830924721244473e-06	2.6979370420010346e-07	2.696781540089399e-07
52.38671	52.69244	-0.696969696969697	-0.6374958178945349	-0.6375330808736807	0.0005425250744850933	0.0005321152297437423	-0.08177842112870282	-0.08236018100509457	0.000547170933618725	0.0005337496369182636	-8.20162683067925e-06	-8.259972019365617e-06	2.51989694891054e-07	2.534098381765957e-07
52.38671	52.69244	-0.6363636363636364	-0.5868637921962699	-0.5853337437244596	0.0005957518411393294	0.0004932631443749196	-0.07711524759402492	-0.07789577693089766	0.000601704485928621	0.0004978056966614072	-7.733953223751372e-06	-7.812233169280681e-06	2.396401930678563e-07	2.3952598402690057e-07
52.38671	52.69244	-0.5757575757575757	-0.5320419692176649	-0.5309354443446536	0.0005063896091582406	0.0004990463166159422	-0.07034973160133501	-0.070472089598281	0.0005104499418381425	0.0005013944353697367	-7.055433918497143e-06	-7.067705305213218e-06	2.1767652756936951e-07	2.178227563122699e-07
52.39305	52.69244	-0.5151515151515151	-0.47623586127106404	-0.47600592222305077	0.00051952811298362	0.0005619299558778096	-0.06433791096128266	-0.06515801486260403	0.00052186733590885	0.0005666252725083849	-6.452503355860261e-06	-6.5347522678371306e-06	2.0044469877175012e-07	2.0403096718980944e-07
52.39938	52.69244	-0.4545454545454546	-0.42071967653232023	-0.41992943158109325	0.00050559495610304	0.0005946048142441135	-0.060450263237205544	-0.05940364153708852	0.0005084662570006828	0.0005997384215535196	-6.0626078865916705e-06	-5.9576413135180544e-06	1.888157482148684e-07	1.8850516240094187e-07
52.40571	52.69244	-0.3939393939393939	-0.36548841630839624	-0.36431509114387217	0.000609287847994543	0.0005978714739826531	-0.052111403177028434	-0.053934917613988234	0.0006135222206230419	0.000599848107560844	-5.2262965777784004e-06	-5.4091783786970445e-06	1.6836691536327856e-07	1.7300157270125406e-07
52.41204	52.69244	-0.33333333333333326	-0.3124661154848692	-0.31156090110443435	0.0005278356123258935	0.0005005862620640796	-0.04626696885383973	-0.047636536455353484	0.0005340865248388666	0.0005043341544738791	-4.640153330041092e-06	-4.7775084199532125e-06	1.4909789423943474e-07	1.5192966544336083e-07
52.41204	52.69244	-0.2727272727272727	-0.2554930445788919	-0.2555889281961066	0.0006064517113582099	0.000533934950494901	-0.0426558740859245	-0.04247757085088555	0.0006123208702544133	0.0005397794886039052	-4.27799359000346e-06	-4.260111408172254e-06	1.4222518292220783e-07	1.3874470109972015e-07
52.41204	52.69244	-0.21212121212121215	-0.20004047934396965	-0.20092797121585837	0.0005330703671749546	0.0005462677845042975	-0.03634430364702662	-0.03673866308652285	0.0005386113565457171	0.0005524920166524147	-3.645000867217593e-06	-3.684551508025559e-06	1.2192193626019722e-07	1.2360406981266018e-07
52.41204	52.69244	-0.1515151515151515	-0.14458291546868574	-0.14393990419775027	0.0005052330057534641	0.0005178991499847885	-0.030130072011904985	-0.030948356484047465	0.0005127785751101315	0.0005256288612797284	-3.0217703351624695e-06	-3.1038367750523987e-06	1.0419011873589325e-07	1.0696653409392632e-07
