# IV Measurement - T = 68.50 C - Pull number 0
# Td_go[C]	Td_return[C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
#  - T Go Leg
68.03521	68.42077	-1.0	-0.8911580854241313	-0.8917461112822832	0.0004552831501071046	0.0005735751190897689	-0.1353444440838088	-0.13481271837331477	0.0004595754400284048	0.0005798664242902636	-1.3573808452894274e-05	-1.3520481232906906e-05	4.0963855715538604e-07	4.0958776749113914e-07
68.03521	68.42077	-0.9393939393939394	-0.8389060349834186	-0.8367834161408763	0.0005673123719608834	0.00047067705686494165	-0.12741222292088605	-0.12827326535277583	0.000569974361218486	0.00047308259156137177	-1.2778279302064592e-05	-1.2864633973801608e-05	3.874221311757873e-07	3.886780146232091e-07
68.03521	68.42077	-0.8787878787878788	-0.7876219096408515	-0.7860159719423834	0.0005190898878687042	0.0004879048058906057	-0.11857802391680194	-0.12073358265654588	0.0005224439352301216	0.000490090590468238	-1.1892290032775243e-05	-1.2108472836881545e-05	3.6044232997371514e-07	3.664079900541489e-07
68.04681	68.42077	-0.8181818181818181	-0.7345123593591938	-0.7309019535162663	0.0005084044685041058	0.0005277143947749687	-0.11319390621478354	-0.11298876650625882	0.0005116824425101983	0.000531911292664873	-1.1352312327227312e-05	-1.1331738692835103e-05	3.4426754673555244e-07	3.439663086423348e-07
68.04681	68.42077	-0.7575757575757576	-0.6800477139627293	-0.6782863629156527	0.0006031310073533934	0.0005407121046157213	-0.10367924694929054	-0.1031006709885558	0.0006081315709624846	0.0005455482349143244	-1.0398079124389784e-05	-1.0340053253290122e-05	3.1771570236264714e-07	3.148570755528304e-07
68.04681	68.42077	-0.696969696969697	-0.624532437920517	-0.6244642741810389	0.0005480813802241412	0.00058711336224637	-0.09626556070000837	-0.09448753179580881	0.0005543311727209082	0.0005945095231136675	-9.654554277405313e-06	-9.476234258931782e-06	2.9480028403042573e-07	2.90351317087575e-07
68.05842	68.40902	-0.6363636363636364	-0.5728438742175105	-0.57305245559803	0.0004759197664248283	0.0006031639371016069	-0.09140679448325839	-0.0905389338999826	0.00047663892709794007	0.0006066620373348045	-9.167264515420559e-06	-9.080226045530299e-06	2.7902368925732396e-07	2.7900322194199194e-07
68.05842	68.40902	-0.5757575757575757	-0.5195866361721732	-0.5177089523662677	0.000557880143414306	0.0005571682309823512	-0.08489054218864583	-0.08500607542703	0.000559381754493535	0.0005604731910012251	-8.513744076686976e-06	-8.52533100261057e-06	2.6139256351626507e-07	2.6175541829726244e-07
68.05842	68.40902	-0.5151515151515151	-0.46430084490610113	-0.46358603449332947	0.0005556565388899106	0.00047245882679486205	-0.07801085749948926	-0.07818233827385673	0.0005599557035835985	0.0004759655350779084	-7.823774696568976e-06	-7.840972648065062e-06	2.4123888845115e-07	2.3992355358005305e-07
68.07003	68.40902	-0.4545454545454546	-0.410366058822213	-0.4106396226301814	0.0005076263866579435	0.0006046340013039967	-0.07107931928542721	-0.07141454642277484	0.000510453833441921	0.0006076895558136775	-7.128604882702558e-06	-7.162225095053138e-06	2.1980985583637622e-07	2.2325317449195948e-07
68.05842	68.40902	-0.3939393939393939	-0.357530072479462	-0.35671028996442444	0.0005547131551533537	0.0005902177451780903	-0.06369792991749329	-0.06323534163517178	0.0005585012698772121	0.0005945136888139461	-6.388319117189177e-06	-6.34192574818692e-06	1.9958719488076242e-07	1.993028314754973e-07
68.07003	68.40902	-0.33333333333333326	-0.30516032587691333	-0.3050976152365017	0.00047949477165089765	0.00048614330042768617	-0.05524808456574675	-0.05691649203636534	0.0004816484192055293	0.0004893989459425959	-5.540876999874311e-06	-5.7082029923142455e-06	1.730333510430446e-07	1.780696641521459e-07
68.05842	68.38552	-0.2727272727272727	-0.24905656990298436	-0.25150592026327384	0.0005207258553293382	0.0005951257942448613	-0.05061720439899403	-0.04928129472811402	0.0005255554608905117	0.0006039067859985146	-5.0764421220533575e-06	-4.942462614393142e-06	1.6109394385575644e-07	1.6010720533853537e-07
68.05842	68.39727	-0.21212121212121215	-0.19567254691252453	-0.19456738555355504	0.0004571183487454955	0.0005513299525438795	-0.04264768610943119	-0.044068198952674546	0.0004670273544627375	0.0005566421458872313	-4.2771724109348304e-06	-4.419636842109573e-06	1.3654423079861455e-07	1.4380941744687562e-07
68.04681	68.38552	-0.1515151515151515	-0.14259253424429197	-0.13914117697437312	0.000565364688331942	0.00044895373170930603	-0.03460402688280696	-0.036180100816318506	0.0005714788310319889	0.0004557688339682138	-3.4704670427045393e-06	-3.6285328268296564e-06	1.1880746191705977e-07	1.1801983349344988e-07
68.05842	68.38552	-0.09090909090909083	-0.09158151822572384	-0.09123115659125909	0.00045954216339763934	0.000563395582964778	-0.02777937979422984	-0.026336578950550776	0.00046584225144742294	0.0005676777963615257	-2.786017429969897e-06	-2.6413177164327325e-06	9.572024216829942e-08	9.754383829205958e-08
68.07003	68.38552	-0.030303030303030276	-0.04040918152408418	-0.03957712948544141	0.0005172876341664078	0.0005381309922744315	-0.017950868769323024	-0.016958829619445524	0.0005214392734082818	0.0005424046447238438	-1.8003077694637472e-06	-1.7008153263910865e-06	7.516176258052167e-08	7.45680851801879e-08
