# IV Measurement - T = 36.00 C - Pull number 1
# Td_go[C]	Td_return[C]	Vcc	Vd_go[V]	Vd_return[V]	ErrVd_go[V]	ErrVd_return[V]	Vr_go[V]	Vr_return[V]	ErrVr_go[V]	ErrVr_return[V]	Id_go[A]	Id_return[A]	ErrId_go[A]	ErrId_return[A]
#  - T Return Leg
36.04882	36.00912	-1.0	-0.9315632779708753	-0.9308012073650753	0.00015828445272683775	0.0001567080986574924	-0.09405769362609802	-0.09417322684146467	0.00014597242258827017	0.00014633281057294052	-9.433125426346205e-06	-9.444712349961355e-06	2.832493536965512e-07	2.835982145990638e-07
36.04551	36.00582	-0.9393939393939394	-0.8746933612786431	-0.8753759075230522	0.00015606481326922784	0.00015645596929004526	-0.08825647057195168	-0.08782845020182428	0.00014448954733383297	0.00014417845804669559	-8.851315873227528e-06	-8.808389349295385e-06	2.658193517118322e-07	2.645323318619785e-07
36.03889	36.00251	-0.8787878787878788	-0.8216874197704668	-0.8204059417060163	0.00015401122983017113	0.00014663315811280382	-0.08325943148830332	-0.08363377730736803	0.00014823345691611608	0.0001433196929494617	-8.35015860879584e-06	-8.387702066730321e-06	2.5083682655854656e-07	2.519320738853162e-07
36.03558	35.99921	-0.8181818181818181	-0.7671409780987002	-0.7658585909495556	0.00015386271430021926	0.00015440250364596347	-0.0785362152271887	-0.07820553651326989	0.00014216287808746985	0.00014109765686030673	-7.876463266190824e-06	-7.84329921906227e-06	2.3662114449104152e-07	2.3562202990069033e-07
36.03558	35.99921	-0.7575757575757576	-0.7101047420070639	-0.7093540320389208	0.0001635491880381289	0.0005007282105343657	-0.07325671107231316	-0.07385575535653208	0.00015153355951084857	0.0005034312378883562	-7.346977341521729e-06	-7.407055998047545e-06	2.2083707593282334e-07	2.2778128823527302e-07
36.03558	35.99921	-0.696969696969697	-0.6527522260646077	-0.6519747051117453	0.0001590456532747674	0.0001627106827830048	-0.06769110300513984	-0.06777979976659187	0.0001481186614069528	0.00015078770393806994	-6.788797814175091e-06	-6.7976932871920444e-06	2.041166882109895e-07	2.044023599026097e-07
36.03558	35.99921	-0.6363636363636364	-0.5974123581252521	-0.5961526922158422	0.00014723548959594293	0.00015386869207914382	-0.06244116313998427	-0.06392763118765346	0.0001450917743519817	0.00014916872060596962	-6.262276917057895e-06	-6.411356051314157e-06	1.8834960222156463e-07	1.928382703603808e-07
36.03558	35.99921	-0.5757575757575757	-0.5446708922433238	-0.5420102344173101	0.0001525457577580291	0.00016048127922082137	-0.05771067049295964	-0.05816370625963659	0.00014330886373815994	0.00014857374915381886	-5.787851819572725e-06	-5.833287158723959e-06	1.741541753563662e-07	1.7555605940606454e-07
36.03558	35.99259	-0.5151515151515151	-0.4868057851062952	-0.48461500252634443	0.00016238775411076987	0.0005076165569035924	-0.05362970975618616	-0.05386668941799889	0.0001502395765138677	0.0005106744316756717	-5.37856882521173e-06	-5.402335715374475e-06	1.619892317624177e-07	1.6990278945574993e-07
36.03558	35.98928	-0.4545454545454546	-0.4302635088150917	-0.428453988820925	0.00015922049655060644	0.0005220888547250724	-0.04943821920590342	-0.05019373246830905	0.00015003822762758146	0.0005300960992324949	-4.958200702627963e-06	-5.033971764949258e-06	1.4944088440451083e-07	1.6004172431572476e-07
36.03227	35.98597	-0.3939393939393939	-0.3735944481674679	-0.3725188243318321	0.00015430470744470968	0.0005055666965583894	-0.04474320397156976	-0.043500085089533735	0.00014789411743349755	0.0005083833074416088	-4.487333664784852e-06	-4.362660223601819e-06	1.353765100250286e-07	1.4040737130334051e-07
36.02895	35.98597	-0.33333333333333326	-0.3195742302993378	-0.3181218882268125	0.0001544734220540308	0.0005072851342551022	-0.038744572778080744	-0.040085031909208806	0.00014642262996818135	0.0005119598715539931	-3.885725882868393e-06	-4.020161659734109e-06	1.1744281614220052e-07	1.3103124514967791e-07
36.02564	35.98597	-0.2727272727272727	-0.262955156292363	-0.26108428886038965	0.00015795092856040095	0.000522542688194494	-0.035124836182714454	-0.03404091687058605	0.00015135788784945356	0.0005282122651425352	-3.522699446666779e-06	-3.4139922646260206e-06	1.0672015511581868e-07	1.15269372991959e-07
